#Path C:\MINIGUI\UTILS\FUNCLIST
#Title MiniGUI Source
   _ReleaseAniGif             	Procedure           	
   _EraseGifDef               	Static  Procedure   	
   GifPlay                    	Static  Function    	
   GifStop                    	Static  Function    	
   GifIsRunning               	Static  Function    	
   LoadGif                    	Function            	
   ReadFromStream             	Function            	
   GetFrameDelay              	Function            	
h_gradient.prg                	                    	
   DrawGradient               	Function            	
   ISENABLEDGRADIENT          	HB_FUNC             	
   _INITGRADIENTFUNC          	HB_FUNC             	
   _EXITGRADIENTFUNC          	HB_FUNC             	
   ALPHABLEND                 	HB_FUNC             	
   TRANSPARENTBLT             	HB_FUNC             	
   FILLGRADIENT               	HB_FUNC             	
   CREATEGRADIENTBRUSH        	HB_FUNC             	
h_graph.prg                   	                    	
   GraphShow                  	Procedure           	
   EraseBarGraph              	Procedure           	
   DrawBar                    	Static  Procedure   	
   DrawBox                    	Static  Procedure   	
   DrawPoint                  	Static  Procedure   	
   Circle                     	Static  Procedure   	
   nMax                       	Static  Function    	
   DetMaxVal                  	Static  Function    	
   ClrShadow                  	Static  Function    	
   RGB2HSL                    	Static  Function    	
   HSL2RGB                    	Static  Function    	
   drawpiegraph               	Function            	
   ErasePieGraph              	Procedure           	
   _PiePrint                  	Function            	
   _GraphPrint                	Function            	
   _bmpprint                  	Static  Function    	
   PrintWindow                	Function            	
c_graph.c                     	                    	
   TEXTDRAW                   	HB_FUNC             	
   LINEDRAW                   	HB_FUNC             	
   RECTDRAW                   	HB_FUNC             	
   ROUNDRECTDRAW              	HB_FUNC             	
   ELLIPSEDRAW                	HB_FUNC             	
   ARCDRAW                    	HB_FUNC             	
   PIEDRAW                    	HB_FUNC             	
   POLYGONDRAW                	HB_FUNC             	
   POLYBEZIERDRAW             	HB_FUNC             	
   WNDBOXIN                   	HB_FUNC             	
   WNDBOXRAISED               	HB_FUNC             	
h_grid.prg                    	                    	
   _DefineGrid                	Function            	
   InitDialogGrid             	Function            	
   _AddGridRow                	Function            	
   HMG_SortColumn             	Procedure           	
   _EditItem                  	Function            	
   _EditItemOk                	Static  Function    	
   _AddGridColumn             	Procedure           	
   _DeleteGridColumn          	Procedure           	
   _UpdateGridColors          	Procedure           	
   ProcessDynamicArray        	Static  Procedure   	
   _tEval                     	Function            	
   _GridInplaceEdit           	Function            	
   _ParseGridControls         	Function            	
   _GridInplaceEditOK         	Static  Procedure   	
   _SetGridCellEditValue      	Procedure           	
   _GridInplaceKbdEdit        	Procedure           	
   GetNumFromCellText         	Function            	
   GETNumFromCellTextSP       	Function            	
   _GetGridCellValue          	Function            	
   _SetGridCellValue          	Procedure           	
   _GetColumnWidth            	Function            	
   _SetColumnWidth            	Function            	
   _SetColumnWidthAuto        	Function            	
   _SetColumnWidthAutoH       	Function            	
   _SetColumnsWidthAuto       	Function            	
   _SetColumnsWidthAutoH      	Function            	
   _GridPgDn                  	Procedure           	
   _GridPgUp                  	Procedure           	
   _GridHome                  	Procedure           	
   _GridEnd                   	Procedure           	
   _GridPrior                 	Procedure           	
   _GridNext                  	Procedure           	
   _GridScrollToPos           	Procedure           	
   _GetIVirtualItem           	Function            	
   _DoGridCustomDraw          	Function            	
   _GRIDINPLACEKBDEDIT_2      	Procedure           	
   _GRID_KBDSCROLL            	Procedure           	
c_grid.c                      	                    	
   INITLISTVIEW               	HB_FUNC             	
   LISTVIEW_SETITEMCOUNT      	HB_FUNC             	
   ADDLISTVIEWBITMAP          	HB_FUNC             	
   ADDLISTVIEWBITMAPHEADER    	HB_FUNC             	
   LISTVIEW_GETFIRSTITEM      	HB_FUNC             	
   INITLISTVIEWCOLUMNS        	HB_FUNC             	
   ADDLISTVIEWITEMS           	HB_FUNC             	
   LISTVIEW_SETCURSEL         	HB_FUNC             	
   LISTVIEWGETMULTISEL        	HB_FUNC             	
   LISTVIEWSETMULTISEL        	HB_FUNC             	
   LISTVIEWSETITEM            	HB_FUNC             	
   LISTVIEWGETITEM            	HB_FUNC             	
   LISTVIEWGETITEMROW         	HB_FUNC             	
   LISTVIEWGETITEMCOUNT       	HB_FUNC             	
   SETGRIDCOLUMNHEADER        	HB_FUNC             	
   SETGRIDCOLUMNHEADERIMAGE   	HB_FUNC             	
   LISTVIEWGETCOUNTPERPAGE    	HB_FUNC             	
   LISTVIEW_ENSUREVISIBLE     	HB_FUNC             	
   SETIMAGELISTVIEWITEMS      	HB_FUNC             	
   GETIMAGELISTVIEWITEMS      	HB_FUNC             	
   LISTVIEW_GETTOPINDEX       	HB_FUNC             	
   LISTVIEW_REDRAWITEMS       	HB_FUNC             	
   LISTVIEW_HITTEST           	HB_FUNC             	
   LISTVIEW_GETSUBITEMRECT    	HB_FUNC             	
   LISTVIEW_GETITEMRECT       	HB_FUNC             	
   LISTVIEW_UPDATE            	HB_FUNC             	
   LISTVIEW_SCROLL            	HB_FUNC             	
   LISTVIEW_SETBKCOLOR        	HB_FUNC             	
   LISTVIEW_SETTEXTBKCOLOR    	HB_FUNC             	
   LISTVIEW_SETTEXTCOLOR      	HB_FUNC             	
   LISTVIEW_GETTEXTCOLOR      	HB_FUNC             	
   LISTVIEW_GETBKCOLOR        	HB_FUNC             	
   LISTVIEW_ADDCOLUMN         	HB_FUNC             	
   LISTVIEW_DELETECOLUMN      	HB_FUNC             	
   LISTVIEW_GETCOLUMNWIDTH    	HB_FUNC             	
   LISTVIEW_SETCOLUMNWIDTH    	HB_FUNC             	
   LISTVIEW_GETCHECKSTATE     	HB_FUNC             	
